experiment_id,rag_type,team_type,embedding_model,chunk_size,chunk_overlap,top_k,retriever_type,evaluation_type,ragas_answer_accuracy_mean,ragas_context_relevance_mean,ragas_faithfulness_mean,ragas_response_relevancy_mean,deepeval_faithfulness_mean,deepeval_geval_mean,bertscore_evaluator_mean,character_length_output,character_length_reference,character_length_ratio,character_length_closeness,word_count_output,word_count_reference,word_count_ratio,word_count_closeness,ragas_answer_accuracy_rank,ragas_context_relevance_rank,ragas_faithfulness_rank,ragas_response_relevancy_rank,deepeval_faithfulness_rank,deepeval_geval_rank,bertscore_evaluator_rank,character_length_rank,word_count_rank,overall_score
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs256-co0-k4,cohere,engineering,multi-qa-mpnet-base-cos-v1,256,0,4,similarity,ragas,0.3108974358974359,0.2467948717948718,0.26703435453435453,0.8147573290226396,0.9724053724053724,0.5179988176749349,0.878748492552684,343.1794871794872,612.7307692307693,0.5835700547848267,2.3450510716253934,49.717948717948715,89.91025641025641,0.5772981880991774,2.3110603480190766,0.7916666666666666,0.04166666666666663,0.20833333333333337,0.7916666666666666,0.7083333333333333,0.75,0.16666666666666663,0.5833333333333333,0.5416666666666667,0.5092592592592592
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs256-co50-k4,cohere,engineering,multi-qa-mpnet-base-cos-v1,256,50,4,similarity,ragas,0.30128205128205127,0.27884615384615385,0.2991910866910866,0.7800855922103617,0.9138888888888889,0.5094255805806344,0.8787457912396162,342.02564102564105,612.7307692307693,0.5741607885082811,2.2944241216327557,49.69230769230769,89.91025641025641,0.5725449423320053,2.285949110591715,0.7083333333333333,0.45833333333333337,0.45833333333333337,0.16666666666666663,0.0,0.5416666666666667,0.125,0.5,0.5,0.38425925925925924
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs256-co100-k4,cohere,engineering,multi-qa-mpnet-base-cos-v1,256,100,4,similarity,ragas,0.28846153846153844,0.27564102564102566,0.2856587856587856,0.786991610896246,0.9519230769230768,0.505294676193158,0.8782637042877002,356.8205128205128,612.7307692307693,0.6058439706534509,2.4742919253656273,51.62820512820513,89.91025641025641,0.60041456722945,2.44149308054176,0.41666666666666663,0.375,0.33333333333333337,0.33333333333333337,0.125,0.5,0.08333333333333337,0.6666666666666667,0.6666666666666667,0.388888888888889
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs512-co0-k4,cohere,engineering,multi-qa-mpnet-base-cos-v1,512,0,4,similarity,ragas,0.3076923076923077,0.25,0.3203347578347579,0.8087268264856574,0.9423076923076923,0.5257264731504685,0.8799776572447556,341.64102564102564,612.7307692307693,0.5763195979074249,2.3058454916912203,49.91025641025641,89.91025641025641,0.5782755269941029,2.3162921319643157,0.75,0.08333333333333337,0.625,0.75,0.04166666666666663,0.7916666666666666,0.41666666666666663,0.5416666666666667,0.5833333333333333,0.5092592592592592
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs512-co100-k4,cohere,engineering,multi-qa-mpnet-base-cos-v1,512,100,4,similarity,ragas,0.30128205128205127,0.2692307692307692,0.36436202686202684,0.7832536757089965,0.9643162393162393,0.5276535011201473,0.8794008057851058,350.4102564102564,612.7307692307693,0.6088457405401196,2.492806635897158,50.166666666666664,89.91025641025641,0.6015778146521389,2.4484468177170164,0.7083333333333333,0.29166666666666663,0.9583333333333334,0.25,0.5416666666666667,0.8333333333333334,0.33333333333333337,0.7083333333333333,0.7083333333333333,0.5925925925925926
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs512-co50-k4,cohere,engineering,multi-qa-mpnet-base-cos-v1,512,50,4,similarity,ragas,0.3173076923076923,0.27884615384615385,0.3267593517593518,0.8180361128815843,0.9615384615384616,0.5284917013763107,0.8793585224029346,350.0769230769231,612.7307692307693,0.5952347038714705,2.4110021000650814,50.69230769230769,89.91025641025641,0.5905983607473998,2.384349288147901,0.9166666666666666,0.45833333333333337,0.6666666666666667,0.875,0.375,0.875,0.29166666666666663,0.625,0.625,0.6342592592592593
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co0-k4,cohere,engineering,multi-qa-mpnet-base-cos-v1,1024,0,4,similarity,ragas,0.2980769230769231,0.25961538461538464,0.3412365412365412,0.8041913179421617,0.963980463980464,0.5176665429069828,0.8796680355683352,373.05128205128204,612.7307692307693,0.6203490960959068,2.566399795253998,53.294871794871796,89.91025641025641,0.6106562894099651,2.5041085498066025,0.625,0.125,0.75,0.625,0.5,0.625,0.375,0.75,0.75,0.5694444444444444
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co50-k4,cohere,engineering,multi-qa-mpnet-base-cos-v1,1024,50,4,similarity,ragas,0.2980769230769231,0.28205128205128205,0.3401866651866652,0.8311475420121593,0.9638583638583638,0.5363146376111675,0.8801407760534531,394.38461538461536,612.7307692307693,0.6709735115303856,2.9496220325263054,56.52564102564103,89.91025641025641,0.6635758874025527,2.8866350915994774,0.625,0.5833333333333333,0.7083333333333333,0.9583333333333334,0.45833333333333337,0.9166666666666666,0.45833333333333337,0.9583333333333334,0.9583333333333334,0.736111111111111
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-k4,cohere,engineering,multi-qa-mpnet-base-cos-v1,1024,100,4,similarity,ragas,0.3333333333333333,0.2980769230769231,0.36158933658933656,0.8187031938579312,0.9737891737891738,0.5393954786511862,0.8770919083020626,368.7564102564103,612.7307692307693,0.6314912511539281,2.6419468586885158,53.41025641025641,89.91025641025641,0.6279096627814718,2.61718212315867,0.9583333333333334,0.75,0.9166666666666666,0.9166666666666666,0.7916666666666666,0.9583333333333334,0.0,0.7916666666666666,0.7916666666666666,0.7638888888888888
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs2048-co0-k4,cohere,engineering,multi-qa-mpnet-base-cos-v1,2048,0,4,similarity,ragas,0.3141025641025641,0.33653846153846156,0.3501373626373626,0.7824134990406153,0.9852564102564102,0.5179482135983082,0.8788425960601904,386.8333333333333,612.7307692307693,0.6487849065512596,2.768433595762545,55.64102564102564,89.91025641025641,0.6396783417426354,2.700355158015155,0.8333333333333334,0.9583333333333334,0.875,0.20833333333333337,0.9583333333333334,0.7083333333333333,0.20833333333333337,0.8333333333333334,0.8333333333333334,0.7129629629629629
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs2048-co50-k4,cohere,engineering,multi-qa-mpnet-base-cos-v1,2048,50,4,similarity,ragas,0.2980769230769231,0.3301282051282051,0.3442867317867318,0.794519668410665,0.9745726495726496,0.5138337829842601,0.8782549080176231,387.3974358974359,612.7307692307693,0.6613693278025995,2.8683649482045093,56.42307692307692,89.91025641025641,0.6599925493404529,2.857082036726989,0.625,0.875,0.8333333333333334,0.45833333333333337,0.875,0.5833333333333333,0.04166666666666663,0.9166666666666666,0.9166666666666666,0.6805555555555557
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs2048-co100-k4,cohere,engineering,multi-qa-mpnet-base-cos-v1,2048,100,4,similarity,ragas,0.3173076923076923,0.2948717948717949,0.3420121545121545,0.8085232103405459,0.9658119658119659,0.5176845452007988,0.8789391280748905,380.6923076923077,612.7307692307693,0.6563892131091814,2.827968028896023,55.06410256410256,89.91025641025641,0.6517015565609744,2.7909694231484363,0.9166666666666666,0.7083333333333333,0.7916666666666666,0.7083333333333333,0.5833333333333333,0.6666666666666667,0.25,0.875,0.875,0.7083333333333334
v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs256-co0-k4,cohere,marketing,multi-qa-mpnet-base-cos-v1,256,0,4,similarity,ragas,0.2564102564102564,0.2467948717948718,0.25075138536677,0.7773876355773708,0.9694444444444446,0.47226086817760643,0.8845851979194543,360.34615384615387,252.96153846153845,1.728608405793284,1.3538973996998787,52.67948717948718,36.94871794871795,1.730629252377251,1.3502032181286763,0.08333333333333337,0.04166666666666663,0.04166666666666663,0.08333333333333337,0.6666666666666667,0.20833333333333337,0.875,0.375,0.41666666666666663,0.3101851851851852
v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs256-co50-k4,cohere,marketing,multi-qa-mpnet-base-cos-v1,256,50,4,similarity,ragas,0.2532051282051282,0.266025641025641,0.23737281237281233,0.8075495775971697,0.9745726495726496,0.4800692890310906,0.883242401557091,353.0128205128205,252.96153846153845,1.7110662468514737,1.3868351269616168,52.15384615384615,36.94871794871795,1.7401595737165978,1.3330497070717773,0.0,0.20833333333333337,0.0,0.6666666666666667,0.875,0.33333333333333337,0.625,0.41666666666666663,0.33333333333333337,0.3842592592592593
v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs256-co100-k4,cohere,marketing,multi-qa-mpnet-base-cos-v1,256,100,4,similarity,ragas,0.2724358974358974,0.28205128205128205,0.2576210826210826,0.8038062367253275,0.9467236467236466,0.48875717021191706,0.8837132706091955,361.94871794871796,252.96153846153845,1.7292217410692068,1.3527740655376352,52.82051282051282,36.94871794871795,1.7357765075871323,1.3408842861454249,0.25,0.5833333333333333,0.08333333333333337,0.5833333333333333,0.08333333333333337,0.41666666666666663,0.7083333333333333,0.33333333333333337,0.375,0.3796296296296296
v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs512-co0-k4,cohere,marketing,multi-qa-mpnet-base-cos-v1,512,0,4,similarity,ragas,0.2980769230769231,0.2692307692307692,0.26443001443001446,0.8002751209262498,0.9564102564102566,0.47827231271878134,0.8854879240194956,375.2692307692308,252.96153846153845,1.8064142029283414,1.2248684508588494,54.98717948717949,36.94871794871795,1.83553555778493,1.1826823730745568,0.625,0.29166666666666663,0.16666666666666663,0.5416666666666667,0.29166666666666663,0.29166666666666663,0.9166666666666666,0.125,0.16666666666666663,0.37962962962962954
v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs512-co50-k4,cohere,marketing,multi-qa-mpnet-base-cos-v1,512,50,4,similarity,ragas,0.2948717948717949,0.28205128205128205,0.2762464387464387,0.8155076722094167,0.9805555555555555,0.48595277498957656,0.8863060130522802,368.38461538461536,252.96153846153845,1.7821232105673561,1.2624298678027028,53.57692307692308,36.94871794871795,1.7795103979909364,1.2666077641848614,0.45833333333333337,0.5833333333333333,0.29166666666666663,0.8333333333333334,0.9166666666666666,0.375,0.9583333333333334,0.20833333333333337,0.29166666666666663,0.5462962962962963
v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs512-co100-k4,cohere,marketing,multi-qa-mpnet-base-cos-v1,512,100,4,similarity,ragas,0.2564102564102564,0.28846153846153844,0.3079670329670329,0.77402602552029,0.9558913308913309,0.4753214786666166,0.8833496578228779,360.61538461538464,252.96153846153845,1.7035177764004057,1.4015067782121082,53.05128205128205,36.94871794871795,1.7288547218897878,1.3534460434146975,0.08333333333333337,0.625,0.5,0.04166666666666663,0.25,0.25,0.6666666666666667,0.45833333333333337,0.45833333333333337,0.37037037037037046
v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co0-k4,cohere,marketing,multi-qa-mpnet-base-cos-v1,1024,0,4,similarity,ragas,0.27564102564102566,0.266025641025641,0.26242044992044994,0.7858349592430346,0.9736111111111111,0.4718261169151622,0.8842795995565561,376.47435897435895,252.96153846153845,1.7959238270786813,1.2408120549367643,55.166666666666664,36.94871794871795,1.839191947226978,1.177590064608459,0.33333333333333337,0.20833333333333337,0.125,0.29166666666666663,0.75,0.16666666666666663,0.75,0.16666666666666663,0.125,0.32407407407407407
v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co50-k4,cohere,marketing,multi-qa-mpnet-base-cos-v1,1024,50,4,similarity,ragas,0.266025641025641,0.2724358974358974,0.29601061331830564,0.7792322267289595,0.9527777777777777,0.47117167444182,0.881738856052741,389.14102564102564,252.96153846153845,1.8660453719478964,1.1414933883806602,56.30769230769231,36.94871794871795,1.882565808562021,1.1203655690229297,0.125,0.33333333333333337,0.41666666666666663,0.125,0.16666666666666663,0.125,0.5,0.04166666666666663,0.08333333333333337,0.21296296296296294
v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-k4,cohere,marketing,multi-qa-mpnet-base-cos-v1,1024,100,4,similarity,ragas,0.2724358974358974,0.2948717948717949,0.29267954267954277,0.7876088262262392,0.9617521367521369,0.5000349783864768,0.8845463074170626,367.9871794871795,252.96153846153845,1.7753366773104062,1.2733392300290434,54.166666666666664,36.94871794871795,1.8199122609200906,1.2049466516994698,0.25,0.7083333333333333,0.375,0.375,0.41666666666666663,0.45833333333333337,0.8333333333333334,0.25,0.20833333333333337,0.4305555555555556
v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs2048-co0-k4,cohere,marketing,multi-qa-mpnet-base-cos-v1,2048,0,4,similarity,ragas,0.28205128205128205,0.3301282051282051,0.275335810912734,0.7917065597364308,0.9692307692307691,0.45738431743440744,0.8825103999712528,394.0128205128205,252.96153846153845,1.8943759970998058,1.1057347864238387,57.57692307692308,36.94871794871795,1.9199851373056418,1.075286001771174,0.375,0.875,0.25,0.41666666666666663,0.625,0.0,0.5833333333333333,0.0,0.0,0.3472222222222222
v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs2048-co50-k4,cohere,marketing,multi-qa-mpnet-base-cos-v1,2048,50,4,similarity,ragas,0.27564102564102566,0.3333333333333333,0.3177356831202985,0.7639732481392165,0.9612179487179486,0.4610740214815202,0.882353880466559,385.53846153846155,252.96153846153845,1.8567195851686695,1.1537757045208494,56.794871794871796,36.94871794871795,1.896905381351067,1.1026508614495647,0.33333333333333337,0.9166666666666666,0.5833333333333333,0.0,0.33333333333333337,0.04166666666666663,0.5416666666666667,0.08333333333333337,0.04166666666666663,0.3194444444444444
v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs2048-co100-k4,cohere,marketing,multi-qa-mpnet-base-cos-v1,2048,100,4,similarity,ragas,0.2692307692307692,0.30128205128205127,0.31414326414326416,0.7989427936798342,0.9553418803418803,0.46665271596745794,0.8842872052620618,374.05128205128204,252.96153846153845,1.767209150969739,1.286654948352423,54.56410256410256,36.94871794871795,1.7859557091343334,1.2563513126723864,0.16666666666666663,0.7916666666666666,0.5416666666666667,0.5,0.20833333333333337,0.08333333333333337,0.7916666666666666,0.29166666666666663,0.25,0.4027777777777778
