exp1,exp2,metric,t_stat,p_value,significant,effect_size
v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-k12,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,deepeval_faithfulness,150.4421682923419,7.475670238750598e-97,True,24.090026663086928
v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-k12,v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,deepeval_faithfulness,150.4421682923419,7.475670238750598e-97,True,24.090026663086928
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-mmr-k4,deepeval_faithfulness,-105.42204522721934,5.0988678679182943e-85,True,16.88103747259103
v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-mmr-k4,deepeval_faithfulness,-105.42204522721934,5.0988678679182943e-85,True,16.88103747259103
v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-k8,v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,deepeval_faithfulness,101.36495463887537,1.02461166268167e-83,True,16.23138304685952
v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-k8,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,deepeval_faithfulness,101.36495463887537,1.02461166268167e-83,True,16.23138304685952
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-k12,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,deepeval_faithfulness,94.09937187903078,3.006501491411285e-81,True,15.067958693207535
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-k12,v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,deepeval_faithfulness,94.09937187903078,3.006501491411285e-81,True,15.067958693207535
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-mmr-k4,deepeval_faithfulness,-92.6187150869889,1.0089023251686975e-80,True,14.830863854678903
v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-mmr-k4,deepeval_faithfulness,-92.6187150869889,1.0089023251686975e-80,True,14.830863854678903
